run_accession,sample_accession,study_accession,sample_description,study_title,library_strategy,scientific_name,instrument_platform,instrument_model,collection_date_end,location,lat,lon,country,fastq_bytes,fastq_ftp
SRR18717679,SAMN17675283,PRJNA697718,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 49 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,164378211;163492476,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/079/SRR18717679/SRR18717679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/079/SRR18717679/SRR18717679_2.fastq.gz
SRR18718173,SAMN17674622,PRJNA697760,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 59 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,406262624;408244110,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/073/SRR18718173/SRR18718173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/073/SRR18718173/SRR18718173_2.fastq.gz
SRR18718176,SAMN17675950,PRJNA697761,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 60 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,695873241;706298641,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/076/SRR18718176/SRR18718176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/076/SRR18718176/SRR18718176_2.fastq.gz
SRR18720394,SAMN17674816,PRJNA697764,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 63 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,591312282;601916657,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/094/SRR18720394/SRR18720394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/094/SRR18720394/SRR18720394_2.fastq.gz
SRR18720397,SAMN17674534,PRJNA697768,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 68 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,798639060;805942955,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/097/SRR18720397/SRR18720397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/097/SRR18720397/SRR18720397_2.fastq.gz
SRR18720432,SAMN17674535,PRJNA697762,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 61 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,469499897;480802328,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/032/SRR18720432/SRR18720432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/032/SRR18720432/SRR18720432_2.fastq.gz
SRR18723970,SAMN17675307,PRJNA697527,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 71 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,196625935;198078837,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/070/SRR18723970/SRR18723970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/070/SRR18723970/SRR18723970_2.fastq.gz
SRR18725091,SAMN17675997,PRJNA697532,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 76 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,280011145;285309441,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/091/SRR18725091/SRR18725091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/091/SRR18725091/SRR18725091_2.fastq.gz
SRR18725098,SAMN17675059,PRJNA697408,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 67 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,569533863;568053637,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/098/SRR18725098/SRR18725098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/098/SRR18725098/SRR18725098_2.fastq.gz
SRR18725150,SAMN17674507,PRJNA697530,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 74 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,394313249;395571646,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/050/SRR18725150/SRR18725150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/050/SRR18725150/SRR18725150_2.fastq.gz
SRR14711163,SAMN17794666,PRJNA699587,Metagenome or environmental sample from mangrove soil recolonization after shrimp farm metagenome,BTS Metagenome,WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2019-05-31,12.681 S 38.731 W,-12.681,-38.731,Brazil:Baia de Todos os Santos,1571130337;1563440261,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/063/SRR14711163/SRR14711163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/063/SRR14711163/SRR14711163_2.fastq.gz
SRR14711380,SAMN17796851,PRJNA699587,Metagenome or environmental sample from mangrove soil recolonization after shrimp farm metagenome,BTS Metagenome,WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2019-05-31,12.681 S 38.731 W,-12.681,-38.731,Brazil:Baia de Todos os Santos,1428781205;1421878819,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/080/SRR14711380/SRR14711380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/080/SRR14711380/SRR14711380_2.fastq.gz
SRR14712270,SAMN17798142,PRJNA699587,Metagenome or environmental sample from mangrove soil recolonization after shrimp farm metagenome,BTS Metagenome,WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2019-05-31,12.681 S 38.731 W,-12.681,-38.731,Brazil:Baia de Todos os Santos,1440641955;1436939059,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/070/SRR14712270/SRR14712270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/070/SRR14712270/SRR14712270_2.fastq.gz
SRR14715184,SAMN17799152,PRJNA699587,Metagenome or environmental sample metagenome from mangrove soil used for shrimp farm,BTS Metagenome,WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2019-05-31,12.675 S 38.734 W,-12.675,-38.734,Brazil:Baia de Todos os Santos,1758622580;1737022108,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/084/SRR14715184/SRR14715184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/084/SRR14715184/SRR14715184_2.fastq.gz
SRR14760426,SAMN17798934,PRJNA699587,Metagenome or environmental sample from mangrove soil recolonization after shrimp farm metagenome,BTS Metagenome,WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2019-05-31,12.681 S 38.731 W,-12.681,-38.731,Brazil:Baia de Todos os Santos,1728696147;1715392463,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/026/SRR14760426/SRR14760426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/026/SRR14760426/SRR14760426_2.fastq.gz
SRR4030075,SAMN05518592,PRJNA336672,"Marine microbial community from La Parguera, Puerto Rico - BB Mangrove A Liquid","Marine microbial community from La Parguera, Puerto Rico - BB Mangrove A Liquid metagenome",WGS,marine metagenome,ILLUMINA,Illumina HiSeq 2000,2011-12-16,17.966667 N 67.0 W,17.966667,-67.0,"Puerto Rico:Bioluminescent Bay, La Paraguera, Puerto Rico",3912427205;3995159225,ftp.sra.ebi.ac.uk/vol1/fastq/SRR403/005/SRR4030075/SRR4030075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR403/005/SRR4030075/SRR4030075_2.fastq.gz
SRR11696248,SAMN14515653,PRJNA621492,"Sediment microbial communities from coastal wetland in Texas, United States Mangrove dominant sediment","Sediment microbial communities from coastal wetland in Texas, United States - D1105M02 metagenome",WGS,wetland metagenome,ILLUMINA,Illumina NovaSeq 6000,2017-11-05,27.8985 N 97.0386 W,27.8985,-97.0386,USA: Texas,4755847105;4802560950,ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/048/SRR11696248/SRR11696248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/048/SRR11696248/SRR11696248_2.fastq.gz
SRR11713590,SAMN14515650,PRJNA621524,"Sediment microbial communities from coastal wetland in Texas, United States Mangrove dominant sediment","Sediment microbial communities from coastal wetland in Texas, United States - D0819M58 metagenome",WGS,wetland metagenome,ILLUMINA,Illumina NovaSeq 6000,2018-08-19,27.8977 N 97.0387 W,27.8977,-97.0387,USA: Texas,3252913073;3309659895,ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/090/SRR11713590/SRR11713590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/090/SRR11713590/SRR11713590_2.fastq.gz
SRR171664,SAMN00138385,PRJNA60545,"Collection site: Ilha Grande Mangrove, Ceara state. City: Chaval. State: Ceara. Description of sampling site: Ilha Grande mangrove is considered the least impacted mangrove of the state, with little urbanization. It is located in an estuary with an area of 616 km2. The soil was collected 3 km from the river mouth in a region with the presence of typical of mangrove vegetation with the species Rhizophora mangle and Avicennia schaueriana.",Metagenomes isolated from NE Brazil,WGS,soil metagenome,LS454,454 GS FLX Titanium,,,,,,49327121,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/SRR171664/SRR171664.fastq.gz
SRR1043577,SAMN02402225,PRJNA227447,"""Draft Genome Sequence of the chitinolyticus Bacillus thuringiensis JM-Mgvxx-63, isolated from Brazilian Mangrove Sediment""",Bacillus thuringiensis JM-Mgvxx-63 Genome sequencing and assembly,WGS,Bacillus thuringiensis JM-Mgvxx-63,ION_TORRENT,Ion Torrent PGM,,,,,,445029780,ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/007/SRR1043577/SRR1043577.fastq.gz
SRR24201529,SAMN33848495,PRJNA947344,Whole metagenome of rhizosphere soil of Gupti from Bhitarkanika mangrove ecosystem for bacterial community analysis during monsoon season,Whole-metagenome shotgun sequencing of soil samples from Bhitarkanika mangrove ecosystem for bacterial community analysis,WGS,soil metagenome,ILLUMINA,Illumina NovaSeq 6000,2021-10-01,20.6528 N 86.8503 E,20.6528,86.8503,"India: Bhitarkanika mangrove forest, Odisha",4042814431;4236220898,ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/029/SRR24201529/SRR24201529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/029/SRR24201529/SRR24201529_2.fastq.gz
SRR24201530,SAMN33848405,PRJNA947344,Whole metagenome of rhizosphere soil of Dangmal from Bhitarkanika mangrove ecosystem for bacterial community analysis during monsoon season,Whole-metagenome shotgun sequencing of soil samples from Bhitarkanika mangrove ecosystem for bacterial community analysis,WGS,soil metagenome,ILLUMINA,Illumina NovaSeq 6000,2021-10-01,20.732 N 86.8726 E,20.732,86.8726,"India: Bhitarkanika mangrove forest, Odisha",5430603576;5725957824,ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/030/SRR24201530/SRR24201530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/030/SRR24201530/SRR24201530_2.fastq.gz
ERR12658427,SAMEA115283886,PRJEB72453,"Sample eigth from the fourth transfer of the microbial consortium originating from the microcosm containing mangrove soil with seawater, and endured for three months in the presence of PET",Explore and identify the functional potential of mangrove soil microorganisms for the transformation of polymers such as lignocellulose and PET.,WGS,mangrove metagenome,ILLUMINA,Illumina NovaSeq 6000,2021-06-30,10.26366 N 75.59169 W,10.26366,-75.59169,Colombia,3194824316;3360405466,ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/027/ERR12658427/ERR12658427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/027/ERR12658427/ERR12658427_2.fastq.gz
SRR6820483,SAMN08667648,PRJNA437562,Mangrove soil,Mangrove metavirome,WGS,soil metagenome,ILLUMINA,Illumina HiSeq 4000,2016-04-30,,,,"China:Guanxi, Beibu bay",1002769771;1302321050,ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6820483/SRR6820483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6820483/SRR6820483_2.fastq.gz
SRR6820486,SAMN08667650,PRJNA437562,Mangrove soil,Mangrove metavirome,WGS,soil metagenome,ILLUMINA,Illumina HiSeq 4000,2017-03-31,,,,"China:Hainan, Yalong bay",1071089830;1424221121,ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6820486/SRR6820486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6820486/SRR6820486_2.fastq.gz
ERR2179510,SAMEA104349897,PRJEB22775,mangrove sample enriched,Metagenomics investigation of agarlytic genes and genomes in mangrove sediments,WGS,metagenome,ILLUMINA,Illumina HiSeq 4000,2015-09-20,24.33 N 117.75 E,24.33,117.75,China,38276288904;44675085127,ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2179510/ERR2179510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2179510/ERR2179510_2.fastq.gz
ERR4833474,SAMEA7567421,PRJEB41295,Mangrove rhizosphere metagenome,Native and introduced mangroves select distinct microbiomes for nitrogen and sulfur cycling,WGS,mangrove metagenome,ILLUMINA,NextSeq 550,2018-12-31,23.27 N 116.52 E,23.27,116.52,China,3595700462;3973716093,ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/004/ERR4833474/ERR4833474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/004/ERR4833474/ERR4833474_2.fastq.gz
ERR4833475,SAMEA7567422,PRJEB41295,Mangrove rhizosphere metagenome,Native and introduced mangroves select distinct microbiomes for nitrogen and sulfur cycling,WGS,mangrove metagenome,ILLUMINA,NextSeq 550,2018-12-31,23.27 N 116.52 E,23.27,116.52,China,4616210617;5085112575,ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4833475/ERR4833475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4833475/ERR4833475_2.fastq.gz
ERR4833479,SAMEA7567426,PRJEB41295,Mangrove rhizosphere metagenome,Native and introduced mangroves select distinct microbiomes for nitrogen and sulfur cycling,WGS,mangrove metagenome,ILLUMINA,NextSeq 550,2018-12-31,23.27 N 116.52 E,23.27,116.52,China,4032569488;4536075829,ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/009/ERR4833479/ERR4833479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/009/ERR4833479/ERR4833479_2.fastq.gz
ERR4833481,SAMEA7567428,PRJEB41295,Mangrove rhizosphere metagenome,Native and introduced mangroves select distinct microbiomes for nitrogen and sulfur cycling,WGS,mangrove metagenome,ILLUMINA,NextSeq 550,2018-12-31,23.27 N 116.52 E,23.27,116.52,China,4095553553;4528556156,ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/001/ERR4833481/ERR4833481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/001/ERR4833481/ERR4833481_2.fastq.gz
ERR4833482,SAMEA7567429,PRJEB41295,Mangrove rhizosphere metagenome,Native and introduced mangroves select distinct microbiomes for nitrogen and sulfur cycling,WGS,mangrove metagenome,ILLUMINA,NextSeq 550,2018-12-31,23.27 N 116.52 E,23.27,116.52,China,3478915930;3839936879,ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/002/ERR4833482/ERR4833482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/002/ERR4833482/ERR4833482_2.fastq.gz
SRR23105293,SAMN32775953,PRJNA924967,Mangrove Soil Microbiome,Rubinisphaera brasiliensis strain Mgru148,WGS,Rubinisphaera brasiliensis,ILLUMINA,Illumina MiSeq,2019-12-21,,,,India,1049924081;1093636829,ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/093/SRR23105293/SRR23105293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/093/SRR23105293/SRR23105293_2.fastq.gz
ERR12329178,SAMEA114664775,PRJEB70438,Site 12A2 Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-10-12,7.619011 N 81.759288 W,7.619011,-81.759288,Panama,601352004;613704584,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/078/ERR12329178/ERR12329178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/078/ERR12329178/ERR12329178_2.fastq.gz
ERR12329179,SAMEA114664776,PRJEB70438,Site 12A3 Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-10-12,7.619908 N 81.760965 W,7.619908,-81.760965,Panama,883508717;902753023,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/079/ERR12329179/ERR12329179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/079/ERR12329179/ERR12329179_2.fastq.gz
ERR12329182,SAMEA114664779,PRJEB70438,Site 13A2 Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-10-13,7.466131 N 81.733042 W,7.466131,-81.733042,Panama,656021760;642237254,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/082/ERR12329182/ERR12329182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/082/ERR12329182/ERR12329182_2.fastq.gz
ERR12329185,SAMEA114664782,PRJEB70438,Site 14A1 Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-10-14,7.378603 N 81.666745 W,7.378603,-81.666745,Panama,670778969;654596597,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/085/ERR12329185/ERR12329185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/085/ERR12329185/ERR12329185_2.fastq.gz
ERR12329186,SAMEA114664783,PRJEB70438,Site 14A2 Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-10-14,7.374182 N 81.665163 W,7.374182,-81.665163,Panama,803316088;789513864,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/086/ERR12329186/ERR12329186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/086/ERR12329186/ERR12329186_2.fastq.gz
ERR12329187,SAMEA114664784,PRJEB70438,Site 14A3 Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-10-14,7.370749 N 81.653954 W,7.370749,-81.653954,Panama,984062172;1000219364,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/087/ERR12329187/ERR12329187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/087/ERR12329187/ERR12329187_2.fastq.gz
ERR12329205,SAMEA114664802,PRJEB70438,Site ALR Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-11-18,9.295648 N 82.346163 W,9.295648,-82.346163,Panama,701068335;686644124,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/005/ERR12329205/ERR12329205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/005/ERR12329205/ERR12329205_2.fastq.gz
ERR12329207,SAMEA114664804,PRJEB70438,Site IPI Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-11-21,9.234142 N 82.344116 W,9.234142,-82.344116,Panama,830009537;849175225,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/007/ERR12329207/ERR12329207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/007/ERR12329207/ERR12329207_2.fastq.gz
ERR12329208,SAMEA114664805,PRJEB70438,Site MAR Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-11-20,9.334212 N 82.247999 W,9.334212,-82.247999,Panama,956845673;973710718,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/008/ERR12329208/ERR12329208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/008/ERR12329208/ERR12329208_2.fastq.gz
ERR12329209,SAMEA114664806,PRJEB70438,Site MYS Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-11-21,9.271099 N 82.296867 W,9.271099,-82.296867,Panama,622797540;635510434,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/009/ERR12329209/ERR12329209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/009/ERR12329209/ERR12329209_2.fastq.gz
ERR12329213,SAMEA114664810,PRJEB70438,Site PST Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-11-18,9.352443 N 82.258881 W,9.352443,-82.258881,Panama,710168765;722619527,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/013/ERR12329213/ERR12329213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/013/ERR12329213/ERR12329213_2.fastq.gz
ERR12329217,SAMEA114664814,PRJEB70438,Site SIS Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-11-20,9.269016 N 82.35149 W,9.269016,-82.35149,Panama,860443237;845434906,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/017/ERR12329217/ERR12329217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/017/ERR12329217/ERR12329217_2.fastq.gz
ERR12329218,SAMEA114664815,PRJEB70438,Site TWN Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-11-22,9.339047 N 82.248237 W,9.339047,-82.248237,Panama,752821255;768492851,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/018/ERR12329218/ERR12329218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/018/ERR12329218/ERR12329218_2.fastq.gz
SRR17658251,SAMN25078511,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2682724422;2893751584,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/051/SRR17658251/SRR17658251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/051/SRR17658251/SRR17658251_2.fastq.gz
SRR17658253,SAMN25078509,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2625023162;2819568176,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/053/SRR17658253/SRR17658253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/053/SRR17658253/SRR17658253_2.fastq.gz
SRR17658255,SAMN25078507,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2733951702;2938090151,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/055/SRR17658255/SRR17658255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/055/SRR17658255/SRR17658255_2.fastq.gz
SRR17658257,SAMN25078550,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2545974483;2650840882,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/057/SRR17658257/SRR17658257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/057/SRR17658257/SRR17658257_2.fastq.gz
SRR17658259,SAMN25078548,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2400775455;2576484901,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/059/SRR17658259/SRR17658259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/059/SRR17658259/SRR17658259_2.fastq.gz
